MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass;
367149340,2020-01-01T00:00:00,29.96476,-90.02724,1.3,10.0,16.0,SYDNEE TAYLOR,,WDD4807,31,0,26,9,,31,B;
367687520,2020-01-01T00:00:00,30.20558,-91.03578,10.7,124.9,130.0,CHIPPEWA,,WDI3361,31,0,22,,,,B;
367368170,2020-01-01T00:00:03,47.53785,-122.32833,0.6,46.5,141.0,SONJA H,,WDE5536,31,0,18,6,,32,B;
367007980,2020-01-01T00:00:05,37.95154,-121.32682,0.0,-49.6,511.0,ANGIE M BRUSCO,IMO5111359,WDC3446,31,0,28,7,3.4,,B;
367538940,2020-01-01T00:00:05,30.00258,-93.22608,3.1,168.0,511.0,RITA ANN,,WDG4670,31,0,21,,,,B;
367054790,2020-01-01T00:00:07,29.76044,-95.10476,0.1,-180.8,511.0,COLT,,WDC6330,31,15,20,7,,31,B;
12345678,2020-01-01T00:00:06,30.05201,-90.54060,0.0,162.2,511.0,INGRAM TEST UNIT,,WWW0000,32,0,46,14,3.5,32,B;
367567020,2020-01-01T00:00:08,34.14870,-119.20176,0.0,0.0,511.0,LULAPIN,IMO8997869,WDG7412,31,0,23,8,,,B;
367389480,2020-01-01T00:00:11,30.69094,-81.45967,0.0,-157.8,511.0,MAVERICK,,WDE7139,31,0,18,6,,52,B;
477628100,2020-01-01T00:00:01,36.80096,-75.22302,12.8,-128.7,283.0,NINGBO SEAL,IMO9579066,VRJD3,70,0,225,32,14.3,70,B;
367320010,2020-01-01T00:00:01,43.75206,-124.23319,0.9,31.8,511.0,GALWAY BAY,IMO0000000,WB06953,30,,22,7,,,B;
367574180,2020-01-01T00:00:00,25.81778,-80.12354,0.0,180.0,511.0,SEAS THE MOMENT,,WDG8117,37,0,22,,,,B;
367588940,2020-01-01T00:00:00,29.66370,-91.02016,0.0,-186.7,511.0,MISS ELIZABETH,IMO7906851,WDG9553,31,0,25,8,2.9,,B;
367091120,2020-01-01T00:00:04,39.89587,-75.19673,0.0,140.6,511.0,ROBERT E MCALLISTER,IMO9068574,WDC8669,31,0,33,9,4.0,52,B;
